"symbol","series","bond_type","coupr","face_value","maturity_date","ltP","bYield","date"
"IBULHSGFIN-NB","NB","-","","-","-","1,120.25","-","Jan 25, 2019 15:59:59"
"IDFCFIRSTB-N9","N9","-","","-","-","4,936.05","-","Jan 25, 2019 15:59:59"
"DHFL-N5","N5","-","","-","-","912.60","-","Jan 25, 2019 15:59:59"
"DHFL-Y1","Y1","-","","-","-","943.00","-","Jan 25, 2019 15:59:59"
"IDFCFIRSTB-NE","NE","-","","-","-","8,300.01","-","Jan 25, 2019 15:59:59"
"IBULHSGFIN-N9","N9","-","","-","-","1,040.00","-","Jan 25, 2019 15:59:59"
"IBULHSGFIN-N2","N2","-","","-","-","-","-","Jan 25, 2019 15:59:59"
"IDFCFIRSTB-N3","N3","-","","-","-","4,835.00","-","Jan 25, 2019 15:59:59"
"SREIBNPNCD-NR","NR","-","","-","-","979.00","-","Jan 25, 2019 15:59:59"
"IBULHSGFIN-N1","N1","-","","-","-","1,057.00","-","Jan 25, 2019 15:59:59"
"RHFL-N5","N5","-","","-","-","975.00","-","Jan 25, 2019 15:59:59"
"SREIBNPNCD-NN","NN","-","","-","-","1,069.00","-","Jan 25, 2019 15:59:59"
"EHFLNCD-N7","N7","Taxable","","1,000","19-JUL-26","1,181.05","-","Jan 25, 2019 15:59:59"
"NTPC-N5","N5","Regular","   8.73","1,000","16-DEC-28","1,169.39","-","Jan 25, 2019 15:59:59"
"SREIBNPNCD-N9","N9","Regular","  10.25","1,000","11-MAY-22","1,060.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-YD","YD","Regular","   8.50","1,000","20-APR-19","1,020.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-YG","YG","Regular","   8.43","1,000","16-MAR-21","960.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-YK","YK","Regular","   9.00","1,000","16-MAR-23","938.00","-","Jan 25, 2019 15:59:59"
"ERFLNCDI-N5","N5","Regular","   8.88","1,000","22-MAR-28","938.70","-","Jan 25, 2019 15:59:59"
"MANAPPURAM-NJ","NJ","Regular","  11.50","1,000","05-APR-19","1,005.00","-","Jan 25, 2019 15:59:59"
"SRTRANSFIN-YA","YA","Regular","   9.57","1,000","15-JUL-19","1,000.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-YB","YB","Taxable","  11.25","1,000","12-NOV-19","1,012.10","-","Jan 25, 2019 15:59:59"
"MANAPPURAM-NB","NB","Regular","","1,000","28-NOV-19","1,403.00","-","Jan 25, 2019 15:59:59"
"SRTRANSFIN-Y6","Y6","Regular","   0.00","1,000","24-OCT-20","1,837.00","-","Jan 25, 2019 15:59:59"
